192.015 5714 e-12, m
7294.299 541 36, 
6.644 657 230 e-27, kg
5.971 920 097 e-10, J
3727.379 378, MeV
4.001 506 179 127, u
4.001 506 179 127 e-3, kg mol^-1
3.972 599 689 07, 
1.000 014 95 e-10, m
1.660 539 040 e-27, kg
1.492 418 062 e-10, J
931.494 0954, MeV
931.494 0954 e6, eV
3.423 177 6902 e7, E_h
2.252 342 7206 e23, Hz
7.513 006 6166 e14, m^-1
1.492 418 062 e-10, J
1.080 954 38 e13, K
1.660 539 040 e-27, kg
3.206 361 329 e-53, C^3 m^3 J^-2
6.235 380 085 e-65, C^4 m^4 J^-3
1.054 571 800 e-34, J s
1.602 176 6208 e-19, C
1.081 202 3770 e12, C m^-3
6.623 618 183 e-3, A
8.478 353 552 e-30, C m
5.142 206 707 e11, V m^-1
9.717 362 356 e21, V m^-2
1.648 777 2731 e-41, C^2 m^2 J^-1
27.211 386 02, V
4.486 551 484 e-40, C m^2
4.359 744 650 e-18, J
8.238 723 36 e-8, N
0.529 177 210 67 e-10, m
1.854 801 999 e-23, J T^-1
2.350 517 550 e5, T
7.891 036 5886 e-29, J T^-2
9.109 383 56 e-31, kg
1.992 851 882 e-24, kg m s^-1
1.112 650 056... e-10, F m^-1
2.418 884 326 509 e-17, s
2.187 691 262 77 e6, m s^-1
6.022 140 857 e23, mol^-1
927.400 9994 e-26, J T^-1
5.788 381 8012 e-5, eV T^-1
13.996 245 042 e9, Hz T^-1
46.686 448 14, m^-1 T^-1
0.671 714 05, K T^-1
0.529 177 210 67 e-10, m
1.380 648 52 e-23, J K^-1
8.617 3303 e-5, eV K^-1
2.083 6612 e10, Hz K^-1
69.503 457, m^-1 K^-1
376.730 313 461..., ohm
2.817 940 3227 e-15, m
2.426 310 2367 e-12, m
386.159 267 64 e-15, m
7.748 091 7310 e-5, S
483 597.9 e9, Hz V^-1
25 812.807, ohm
1.002 076 97 e-13, m
-4.664 345 535 e-4, 
3670.482 967 85, 
0.857 438 2311, 
0.433 073 5040 e-26, J T^-1
0.466 975 4554 e-3, 
0.857 438 2311, 
3.343 583 719 e-27, kg
3.005 063 183 e-10, J
1875.612 928, MeV
2.013 553 212 745, u
2.013 553 212 745 e-3, kg mol^-1
-0.448 206 52, 
0.307 012 2077, 
1.999 007 500 87, 
2.1413 e-15, m
8.854 187 817... e-12, F m^-1
-1.758 820 024 e11, C kg^-1
-2143.923 499, 
2.724 437 107 484 e-4, 
-2.002 319 304 361 82, 
1.760 859 644 e11, s^-1 T^-1
28 024.951 64, MHz T^-1
1.819 543 074 854 e-4, 
-928.476 4620 e-26, J T^-1
1.159 652 180 91 e-3, 
-1.001 159 652 180 91, 
-1838.281 972 34, 
9.109 383 56 e-31, kg
8.187 105 65 e-14, J
0.510 998 9461, MeV
5.485 799 090 70 e-4, u
5.485 799 090 70 e-7, kg mol^-1
206.766 9880, 
4.836 331 70 e-3, 
960.920 50, 
5.438 673 4428 e-4, 
-658.210 6866, 
5.446 170 213 52 e-4, 
2.875 92 e-4, 
1.370 933 554 798 e-4, 
864.058 257, 
-658.227 5971, 
1.819 200 062 203 e-4, 
1.602 176 6208 e-19, J
1.073 544 1105 e-9, u
3.674 932 248 e-2, E_h
2.417 989 262 e14, Hz
8.065 544 005 e5, m^-1
1.602 176 6208 e-19, J
1.160 452 21 e4, K
1.782 661 907 e-36, kg
1.602 176 6208 e-19, C
2.417 989 262 e14, A J^-1
96 485.332 89, C mol^-1
96 485.3251, C_90 mol^-1
1.166 3787 e-5, GeV^-2
7.297 352 5664 e-3, 
3.741 771 790 e-16, W m^2
1.191 042 953 e-16, W m^2 sr^-1
2.921 262 3197 e-8, u
27.211 386 02, eV
4.359 744 650 e-18, J
27.211 386 02, eV
6.579 683 920 711 e15, Hz
2.194 746 313 702 e7, m^-1
4.359 744 650 e-18, J
3.157 7513 e5, K
4.850 870 129 e-35, kg
5495.885 279 22, 
-4.255 250 616, 
-1.074 617 522 e-26, J T^-1
-1.158 740 958 e-3, 
-2.127 625 308, 
5.006 412 700 e-27, kg
4.499 539 341 e-10, J
2808.391 586, MeV
3.014 932 246 73, u
3.014 932 246 73 e-3, kg mol^-1
2.993 152 670 46, 
4.439 821 6616 e-24, u
4.135 667 662 e-15, eV
1.519 829 846 0088 e-16, E_h
3.335 640 951... e-9, m^-1
6.626 070 040 e-34, J
4.799 2447 e-11, K
7.372 497 201 e-51, kg
137.035 999 139, 
1.331 025 049 00 e-15, u
1.239 841 9739 e-6, eV
4.556 335 252 767 e-8, E_h
299 792 458, Hz
1.986 445 824 e-25, J
1.438 777 36 e-2, K
2.210 219 057 e-42, kg
12 906.403 7278, ohm
483 597.8525 e9, Hz V^-1
6.700 535 363 e9, u
6.241 509 126 e18, eV
2.293 712 317 e17, E_h
1.509 190 205 e33, Hz
5.034 116 651 e24, m^-1
7.242 9731 e22, K
1.112 650 056... e-17, kg
9.251 0842 e-14, u
8.617 3303 e-5, eV
3.166 8105 e-6, E_h
2.083 6612 e10, Hz
69.503 457, m^-1
1.380 648 52 e-23, J
1.536 178 65 e-40, kg
6.022 140 857 e26, u
5.609 588 650 e35, eV
2.061 485 823 e34, E_h
1.356 392 512 e50, Hz
4.524 438 411 e41, m^-1
8.987 551 787... e16, J
6.509 6595 e39, K
543.102 0504 e-12, m
2.651 6467 e25, m^-3
2.686 7811 e25, m^-3
12.566 370 614... e-7, N A^-2
2.067 833 831 e-15, Wb
8.314 4598, J mol^-1 K^-1
1 e-3, kg mol^-1
12 e-3, kg mol^-1
3.990 312 7110 e-10, J s mol^-1
0.119 626 565 582, J m mol^-1
22.710 947 e-3, m^3 mol^-1
22.413 962 e-3, m^3 mol^-1
12.058 832 14 e-6, m^3 mol^-1
1.002 099 52 e-13, m
11.734 441 11 e-15, m
1.867 594 308 e-15, m
206.768 2826, 
-2.002 331 8418, 
-4.490 448 26 e-26, J T^-1
1.165 920 89 e-3, 
-4.841 970 48 e-3, 
-8.890 597 05, 
1.883 531 594 e-28, kg
1.692 833 774 e-11, J
105.658 3745, MeV
0.113 428 9257, u
0.113 428 9257 e-3, kg mol^-1
0.112 454 5167, 
-3.183 345 142, 
0.112 609 5262, 
5.946 49 e-2, 
1.054 571 800 e-34, J s
6.582 119 514 e-16, eV s
8.187 105 65 e-14, J
0.510 998 9461, MeV
386.159 267 64 e-15, m
9.109 383 56 e-31, kg
2.730 924 488 e-22, kg m s^-1
0.510 998 9461, MeV/c
1.288 088 667 12 e-21, s
299 792 458, m s^-1
1.319 590 904 81 e-15, m
0.210 019 415 36 e-15, m
1.040 668 82 e-3, 
1838.683 661 58, 
-3.826 085 45, 
1.832 471 72 e8, s^-1 T^-1
29.164 6933, MHz T^-1
-0.966 236 50 e-26, J T^-1
-1.041 875 63 e-3, 
-1.913 042 73, 
1.674 927 471 e-27, kg
1.505 349 739 e-10, J
939.565 4133, MeV
1.008 664 915 88, u
1.008 664 915 88 e-3, kg mol^-1
8.892 484 08, 
-0.684 979 34, 
2.305 573 77 e-30, 
2.072 146 37 e-13, 
1.293 332 05, 
0.001 388 449 00, 
1.001 378 418 98, 
0.528 790, 
-0.684 996 94, 
6.674 08 e-11, m^3 kg^-1 s^-2
6.708 61 e-39, (GeV/c^2)^-2
5.050 783 699 e-27, J T^-1
3.152 451 2550 e-8, eV T^-1
2.542 623 432 e-2, m^-1 T^-1
3.658 2690 e-4, K T^-1
7.622 593 285, MHz T^-1
6.626 070 040 e-34, J s
4.135 667 662 e-15, eV s
1.054 571 800 e-34, J s
6.582 119 514 e-16, eV s
197.326 9788, MeV fm
1.616 229 e-35, m
2.176 470 e-8, kg
1.220 910 e19, GeV
1.416 808 e32, K
5.391 16 e-44, s
9.578 833 226 e7, C kg^-1
1.321 409 853 96 e-15, m
0.210 308 910 109 e-15, m
1836.152 673 89, 
5.585 694 702, 
2.675 221 900 e8, s^-1 T^-1
42.577 478 92, MHz T^-1
1.410 606 7873 e-26, J T^-1
1.521 032 2053 e-3, 
2.792 847 3508, 
25.691 e-6, 
1.672 621 898 e-27, kg
1.503 277 593 e-10, J
938.272 0813, MeV
1.007 276 466 879, u
1.007 276 466 879 e-3, kg mol^-1
8.880 243 38, 
-1.459 898 05, 
0.998 623 478 44, 
0.8751 e-15, m
0.528 063, 
3.636 947 5486 e-4, m^2 s^-1
7.273 895 0972 e-4, m^2 s^-1
10 973 731.568 508, m^-1
3.289 841 960 355 e15, Hz
13.605 693 009, eV
2.179 872 325 e-18, J
-1.151 7084, 
-1.164 8714, 
1.438 777 36 e-2, m K
2.037 894 585 e8, s^-1 T^-1
32.434 099 66, MHz T^-1
-1.074 553 080 e-26, J T^-1
-1.158 671 471 e-3, 
-2.127 497 720, 
-0.761 766 5603, 
-0.761 786 1313, 
2.675 153 171 e8, s^-1 T^-1
42.576 385 07, MHz T^-1
1.410 570 547 e-26, J T^-1
1.520 993 128 e-3, 
2.792 775 600, 
299 792 458, m s^-1
9.806 65, m s^-2
101 325, Pa
100 000, Pa
5.670 367 e-8, W m^-2 K^-4
0.697 787 e-15, m
0.111 056 e-15, m
3477.15, 
3.167 47 e-27, kg
2.846 78 e-10, J
1776.82, MeV
1.907 49, u
1.907 49 e-3, kg mol^-1
16.8167, 
1.891 11, 
1.893 72, 
0.665 245 871 58 e-28, m^2
5496.921 535 88, 
5.957 924 920, 
1.504 609 503 e-26, J T^-1
1.622 393 6616 e-3, 
2.978 962 460, 
5.007 356 665 e-27, kg
4.500 387 735 e-10, J
2808.921 112, MeV
3.015 500 716 32, u
3.015 500 716 32 e-3, kg mol^-1
2.993 717 033 48, 
1.660 539 040 e-27, kg
25 812.807 4555, ohm
0.2223, 
5.878 9238 e10, Hz K^-1
2.897 7729 e-3, m K
